ID,Start time,Completion time,How often do you typically attend Sunday worship services?,"Beyond Sunday worship, in which PHCRC ministries or groups do you regularly participate?",Please describe what you most appreciate about PHCRC's worship services.,"What changes or additions, if any, would you suggest for our worship services to enhance your spiritual experience?",Do you feel the current blend of traditional and occasional contemporary music in our services effectively meets your spiritual needs? Please explain.,What proportion of traditional vs. contemporary music would you ideally prefer in our worship services? Consider 1 as totally traditional and 5 totally contemporary.,How would you describe the current level of member involvement in planning and participating in liturgy/worship? Consider 1 as no involvement at all and 5 as too much.,"Are there ways you would like to see more members, or new members, involved in worship leadership, music, or technology?",Which of our current discipleship programs have you or your family members found most beneficial? (max of 3),What new or expanded ministries for spiritual growth would you like to see for yourself or other age groups within the church?,"How can PHCRC better foster a sense of belonging for members, especially those who may struggle with commitment beyond Sunday mornings?","How well do you believe PHCRC is currently living out its mission statement: ""EQUIPPING DISCIPLES TO BECOME NEIGHBORS; INVITING NEIGHBORS TO BECOME DISCIPLES""? Please provide examples.","What are your thoughts on our current community outreach efforts (e.g., community nights, GEMS/Cadets, prayer walks, food pantry, Family Promise)? ",What new or expanded community outreach initiatives would you like to see PHCRC pursue?,"Do you feel our missional focus is adequately balanced between ""local and global"" efforts? Consider 1 as not balanced at all and 5 totally balanced.","In what ways do you believe PHCRC is effectively responding to ""compassion, mercy, and justice needs""? ","What additional actions, either church-based or personal, could we take to address these needs in our community and beyond?","From your perspective, what are PHCRC's greatest strengths or gifts as a church today? ","Thinking about PHCRC's challenges with welcoming new members, bridging age gaps, and embracing diverse families and backgrounds, which of the following best reflects your perception?","Which of the cultural challenges listed below do you feel are most pressing for PHCRC, and how can a new pastor help us navigate them?","What does being ""Christians of Reformed accent"" mean to you personally, and how do you see this reflected in our church life?",What is your perspective on PHCRC's relationship with the Christian Reformed denomination today?,"What are the most important goals or opportunities you envision for PHCRC in the next 3-5 years? (Consider the stated goals: expanding kids/youth, expanding diversity, growing community outreach).","Beyond the general responsibilities of a Minister of Worship and Leadership, what specific gifts, skills, or personal characteristics are most important to you in our next pastor? (Consider how th...",How do you prefer to see leadership shared between lay leaders and pastoral staff in our church?,"If you could identify one or two top priorities for our new pastor to focus on in their first year, what would they be? (e.g., fostering belonging, enhancing diversity, strengthening youth program..."
39,11/19/25 14:15:20,11/19/25 17:21:42,Weekly,"Small Groups: Equip Group, Oasis Group;Mobile Food Pantry;Friendship Group;Community Nights;Contacting those experiencing grief/loss;",Being with and worshipping with the Body of Christ,Singing songs we know.  Not always having to deal with new words or tunes.,"Not always.  If the instrumental introduction doesn't give me a clue to the song we're about to sing, or we are not cued in, I'm at a loss, even though I'm very familiar with accompanying a congregation.   What's the purpose of an instrument in a worship service?  To assist the congregation in PRAISING GOD.   ",3,1,I appreciate having the children and youth taking part in the service.,Small Groups;Befriending those of other ages than myself;,"Possibly a short-term small group of mixed ages, talking about or reading a book of maybe  6 chapters, meeting briefly every other week.  Also, a phone call ministry.","Talk to them personally, face to face. Not a bulletin announcement.  Especially include newcomers/visitors.  Having two households join for Sunday lunch, as happened recently, could be good other households (plus visitors) to follow. ","(1) I don't think we do the first half well at all. 
(2)  We MAY ""invite neighbors""  to some function  but only after they first come to us and we see them as an asset to us.  We like to talk with those we already know.  It's hard to overcome the ""us/them""  mentality. ",I'm not sure.,Maybe intentionally more inclusion at a church dinner.,3,"Sponsoring the bikers across Florida, as we just did.",March more.,Value for diversity;Youth program ministries;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;","Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;","We believe we're saved by GRACE.   
Sometimes an individual's ego wants to be seen.",We have been hurt by the way the denomination disrespects people.  Many Scripture verses seem not to apply to our daily living.,"That we see ourselves as Christ's Body.  We can love each other, not having to agree on everything.  LOVE covers a lot!", I think we're all longing for another dedicated pastor to come alongside Pastor Sarah!,I'm not sure.,So much depends on the new pastor's personality and skills. 
40,11/20/25 8:31:01,11/20/25 8:57:27,Weekly,None of them. I only attend Sunday worship.;,fellowship,Strong sermons,"Yes.  I like that we are incorporating more contemporary music, but I still like to sing hyms also.  I like to sing harmony, so haaving notes other than just the melody is wonderfu.",3,3,"I think it's good to add members in the services, but we still need a pastor to be the larger leader",Mobile Food Pantry;Choristers;Youth Groups;,Of course ministries for the Youth.  ,I guess just friendly communications with them.  Letting them know they are prayed for.  ,I think Plymouth has been for open to many visitors.  Greeting and coffee fellowship has been warm.  ,I think Plymouth is noticed for it's neighborhood openess.  ,None,3,Caring people who call and sent notes,None,Value for diversity;Community presence;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;",Traditional values without being judgmental,"I would say for many it's a mixed bag of feelings.  I have a tradtional view, but some do not.  As we have (happily) chosen to stay true to the Christian Reformed doctrine, I hope that our church will be able to be a stronghold in the area for people who have the same views.  ","We have such a wonderful location to grow with Calvin University close by, and other churches leaving the CRC (with not all the members in agreement with their churches stance).  ",I pray for someone who has a vision of the opportunities and possibilites that we have here.  It could be so much fun to be that alternative choice for the current feelings out there!,"I like the involvement of lay leaders, but I think a strong pastoral leader is key","My first priority is strong preaching.  Second would be getting younger people in the door because of the strong preaching.  When that age come, they grow up and add to the number with spouses and children.  "
41,11/20/25 11:53:19,11/20/25 12:19:43,Weekly,None of them. I only attend Sunday worship.;,Friendship member attendance. Varied music. Solid preaching. Friendly members. ,Not sure. ,We need to incorporate contemporary music to attract younger members. ,3,3,,Small Groups;Mobile Food Pantry;,,"Maybe have coffee/bagels etc., offered before church for people to gather earlier and foster community. It seems to be what younger people and college students like to have. ",Doing well with Friendship and Food Pantry. ,A valuable asset in our community. ,,3,,More of a statement on the injustices regarding what the federal government is doing in our communities to immigrants. ,Community presence;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;","Busy lives/competing priorities ;Nurturing young people to join, participate, and grow into lifelong, active church members ;",It means being open to constantly learning about God’s word in his world today. It means not being stuck in past close-mindedness. I don’t see this being reflected in our broader church/denomination today. ,"I think our church, due to our former pastor, has had a strained relationship with the denomination. Maybe this has gotten better. ",Attracting a younger group of attendees. ,"Warm personality. 
Genuine interest in people. 
Strong biblical preaching. ",In concert with each other for the best relationship possible. ,"Youth engagement. 
Strong preaching. "
42,11/20/25 13:47:35,11/20/25 14:27:15,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;Mobile Food Pantry;Dwell, Gems, Cadets, or other youth programs;Community Nights;",I appreciate the people.   We have a great community.,I would like to have a few more contemporary songs and a little less formal/scripted worship.,I would like to see them blend together more instead of one week traditional and the next formal.,4,3,I would like to see youth singing in the front along with adults.,Youth Groups;Mobile Food Pantry;Cadets;,College Ministries ,Getting together once a month for dinner (before Wednesday programming) for a basic meal.  It could be a fundraiser.,We are doing good.  We have a great Friendship group.  Our Wednesday nights have kids from the neighborhood showing up.  We could do a little more at making sure that every group in the church is focused on the statement.,Our Wednesday nights are great.  We are bringing kids in from not just our church but from the community.,I would like to college become a focus.,4,We have a great food pantry ,We could dream about how we could build relationships with people from the food pantry.,The international presence in the church;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;","Nurturing young people to join, participate, and grow into lifelong, active church members ;",Being reformed means our God has everything in his hands and we need to follow His leading.  As a church we need to be in prayer to see where God is leading us ,I believe we need to stay CRC and yet still live in the middle by loving what are society would call the least of these.,"Growing community and relationships in the church.  We can invite and WELCOME others to join us   

Changing our worship style to be a bit more contemporary and less scripted.","The pastor need to be genuine to who they are, not trying to be someone they think we want them to be. The pastor needs to be relational because our church is a relational church.",Not sure how to answer ,Getting to know people of the congregation.  Outreach and working with the community to help us grow the church.
43,11/20/25 14:38:01,11/20/25 15:06:15,Weekly,Mobile Food Pantry;,Organization and liturgy ,Inspiring music,Yes,4,4,Not worship leadership but involvement in music and technology is positive,Choristers;Mobile Food Pantry;,Men’s Bible study during the day,Perhaps a series of midweek gatherings based on a relevant tpic,"Doing quite well through food pantry, friendship",Excellent programs,Expanded college ministry,4,Our diversity is good,Coffee and pastries before church,Value for diversity;Community presence;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;",God is sovereign and we fall far short of His glory. The world doesnt like to hear that we are sinners in need of grace. We acknowledge that in our literacy and sermons,Don’t get involved with the denomination- just follow the great history and creeds we have and do fine ministry,We have to grow our young families. We have a huge facility that cannot be maintained with only seniors,Dynamic preaching,Staff needs to lead strongly,Youth programs and engaging the community through dynamic worship
44,11/20/25 17:44:17,11/20/25 18:27:37,Weekly,"Friendship Group;Mentoring at Mulick;Adult Book Studies: Guys Group, Ladies' Bible Study;",They are always warm and welcoming and my special needs son feels comfortable.,I would love to sing some of the old gospel songs that I sang as a child. ,"Yes, for the most part. But, as I mentioned above, I miss the worship songs of long ago! ",3,3,"No, not really.",Friendship Group;,"I would like to see opportunities for young people between the ages of 15-20, or early twenties. ","Maybe have more chance to get together, such as the chili cook off that we had recently, or something similar, to draw these people to come and participate. ",I really think we are doing well.,"I love these. And I feel if we promoted them a little more, we might get more involved.",All I can think that we’re lacking in is reaching the late teen and early twenty group!,5,We have a great core of compassionate members! ,"Just keep in contact with one another, especially for those who can’t physically come to church. Call, send a card, or visit. Let people know that we miss them at church, and we care about them! ",Value for diversity;Worship services;Youth program ministries;,"The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;","Nurturing young people to join, participate, and grow into lifelong, active church members ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;","We all need to follow Jesus’ example of loving everyone, not just those like ourselves.","There are differences, but we need to overcome those differences. ",Growing community outreach.,Compassionate and caring with everyone. ,Just helping and supporting one another. ,Community engagement.
45,11/21/25 9:55:22,11/21/25 10:26:54,Weekly,Women's Bible Study;,music and preaching,no major changes,Yes,3,3,A number of members already are involved,Small Groups;,,encouragement,Yes. Friendship program is an example.,Outreach programs are good,None comes to mind,3,Family Promise is a good example,Special collections,Worship services;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,Busy lives/competing priorities ;,Retaining our connection to the past while at the same time adapting to the present,I wish to see it continue,kids/youth,effective preaching,staff provides leadership and direction while involving lay leaders,youth programs 
46,11/21/25 21:21:13,11/21/25 22:06:20,Weekly,"Small Groups: Equip Group, Oasis Group;Mobile Food Pantry;Dwell, Gems, Cadets, or other youth programs;Friendship Group;Missions;",Biblical preaching,Continued movement to more contemporary music under David Van Zytveld's leadership.,"Yes, it meets my spiritual needs, but I would prefer more contemporary music than we currently have.",4,3,"No, it seems just right now.",Cadets;Friendship Group;,More small group studies,More fellowship opportunities before and after worship services.,"Somewhat well, but there's room for improvement. I miss the ""mission"" sermons from Steve De Vries that encouraged a focus on outreach. ","GEMS/Cadets have made an intentional effort to reach children outside of our church, which I strongly support. The food pantry is organized well with demonstrating love for our neighbors, but I wish we could return to also having a breakfast/fellowship time before the food distribution time (pre-Covid).",Meals that our community is invited to.,3,"Mobile food pantry, Friendship, Benevolence Fund, elder/deacon household care",More intentional relationship building with our neighbors.,Youth program ministries;Congregational care for each other;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;",Every square inch of our lives belongs to God. Our church maintains a spiritual dimension in every activity and program.,"I'm happy with our church's decision to remain in the CRC, despite the recent conflicts in interpretation of the Human Sexuality Report.","More youth remaining in our church as they become young adults, thus growing our church with young families and young voices.","Heart for missions, desire to foster a personal relationship with members, strong Biblical preaching",Collaboration according to gifts and time commitments.,Fostering belonging.
47,11/22/25 22:12:31,11/22/25 23:07:18,Weekly,"Small Groups: Equip Group, Oasis Group;Friendship Group;Community Nights;Personnel Committee;","Variety of beautiful music, scripture is central, the integration of our differently-abled friends, and the multi-generational participants. Interesting, thought-provoking, biblically based sermons help me to stay focused on Jesus.","These are quite minor points as I find our worship to be helpful and I enjoy the not too formal aspect of it. I would be open to a little narrating during the worship service if we are trying something new. A week or so ago I think we were supposed to see but not sing the words. I could have relaxed into that idea with a little heads up. I have mixed feelings about the singers up front.  We can't hear them, so should looking at them help us come in on time, or observe them worshipping? Could we try some weeks without them, or allow us to hear them in the sanctuary?","Yes. I like both types, and enjoy mixing it up. I really appreciate having the music on the slides as not too many churches go to that extra trouble. If I'm going to lose myself in a song, it is much more likely to be something more contemporary.",4,3,"I would like David or whoever is the primary worship and tech lead to be able to take some Sundays off, so having more tech or worship leadership would be great.",Small Groups;Friendship Group;,"We may want to switch up our small groups to get to know more people, and could use some help selecting resources, gaining access to some video resources, or just some  other new ideas.",Do we have readily accessible name tags for visitors? ,Friendship - Our outreach to the 76th street home and to walk alongside and learn from all of our friends feels important to the overall character of our church. I do wonder if our church building could serve additional community needs.,"I love these programs, and feel that taking on anything additional could significantly burden our volunteers. But I'm sure that we are called to continue to reach out to others who need to feel God's love and community. ","Possibly some hints or instructions on how to talk with our neighbors and coworkers about coming to church or sharing our love for Jesus?
For the upcoming advent services, a handout of the times and themes would be very handy for sharing.",3,,I'm not sure. It seems like we would need to have some significant growth in members before we could expand additionally. I'm a frequent volunteer who is feeling pretty worn out.,"Biblical interpretation, welcoming spirit;","I believe #1 is true, but want to be very open if it does not feel this way to visitors;","Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;","I'm not familiar with that phrase, but being reformed has always meant fully integrating my faith and Sunday reminders in actions all week long. So our ministries to serve our youth from nursery on, and to feed the hungry, and to provide a vibrant,, Christian community for our differently abled adults seems consistent with that.","I'm pleased that we have taken a one man and one woman position for a biblical marriage, AND that we are encouraged to maintain relationships and a welcoming posture with individuals who identify as gay. I'm proud that we stayed with the CRC, and regret the division in the classis on this topic.","Actively promoting our welcoming, biblical, come-as-you-are, friendly church to our friends, neighbors and community so that we can grow organically or by combining with another congregation. I worry about our current size not being sustainable, and find myself wondering if we should belong to a larger church.","I envision a pastor who has a clear vision for additional opportunities here, and who will both challenge and encourage us to be open-minded to listen to God's call.  A collaborative, inspiring, team player and leader. An outspoken visionary.","I think the relationship between the chair of council and the pastors is critical. An ideal chair has leadership experience, and availability to engage fairly often and meaningfully with the pastors. The pastors are so helpful to keep us grounded in God's word, but also to challenge us to slow down, or get engaged, or to connect, depending on what we need. Ideally the church admin, elders, and deacons can relieve  some administrative burden of running the ministries of the church to allow the pastors to stay focused on preaching, teaching and leadership of the flock.  But pastors also benefit from capable supervision by the Church Council.  I would like to see the pastors or paid staff to engage a bit more with the volunteer ministry leaders for support and encouragement. And maybe vice versa.","I have heard that there is a resurgence of Christian faith and church attendance among post-high youth. That is encouraging. Do we need to promote our church with that audience? Can they help us discern how to better promote ourselves in our community? Can they lead joy-filled, intelligent worship with a team of excellent staff and volunteers? "
48,11/24/25 20:03:58,11/24/25 20:31:36,Weekly,"Small Groups: Equip Group, Oasis Group;Adult Book Studies: Guys Group, Ladies' Bible Study;Mobile Food Pantry;Dwell, Gems, Cadets, or other youth programs;Community Nights;",The high level of preaching. And more recently the testing of different music styles,"Our worship band is great, but we need a lead vocalist who is strong and can lead the congregation. Plymouth tends to follow leader cues vs. freely worship. Ie: when to stand, sit, start the next verse. ","I believe that we will not make the entire congregation happy with any blend. My question would be who are we trying to reach? Are we trying to reach the 80 year old firm foundation, or are we trying to attract younger people who need a church community at a very critical juncture in their faith journey. If we have contemporary music and see people join our church in droves- will strong preaching be enough for the older generation to be fed?",4,3,I believe this is at a good mix currently. ,Dwell;GEMS;Cadets;,,Wednesday nights are booming and there is very little mention or highlights on Sunday. If Sunday only members could see just how full of life weekday Plymouth is I believe we would have a much larger sense of community and support ,We are not. It's time for a new mission statement. ,"Wednesday night is great and attracting non members for repeat years. 

Food pantry is stagnant and not adapting to the needs of our community. (It is a feel good time for the volunteers though) ","I think we should get back involved with Calvin students. Calvin lunches after service, Van to pick them up. Many Calvin students in our congregation started attending this way and have started families that are established here. ",3,We need to search ourselves in this category,"Fifth reformed is the""church of the surrounding community"" maybe we could take some cues from them. ",Youth program ministries;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,Busy lives/competing priorities ;, ,We are closely aligned to the denomination although we have members who are not and still feel comfortable here. ,Our large cohort of youth will age through the church. We will need to bolster our middle school and high school youth groups or children will go elsewhere for these activities even if they remain members. ,Interpersonal skills would be nice. Ben and Steve before him were excellent preachers but not very relational. ,I like to see elder involvement as well as a pastoral staff who is willing and interested in getting involved with the non-Sunday aspects of the church activities. ,Establishing a clear direction for the church. What is our mission now. Do we want to grow? 
49,11/25/25 15:21:25,11/25/25 16:13:19,Weekly,None of them. I only attend Sunday worship.;,"The sermon, and the children participating,and hand bell choir.",Some more of the old hymns.,Sometimes ,3,2,"Yes,but that is the worship committee in having an outstanding preacher.",Small Groups;Friendship Group;,,No answer.,Probably not very well.,Doing good ,Don’t know ,4,Don’t know ,By doing exactly what the motto of church says.,Leadership;Value for diversity;Youth program ministries;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;","Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;",By living’ according to the Bible ,Good,Getting a good and easy to like preacher ,"Easy to talk to,and easy to get a long with.",Don’t know ,"Fostering belonging,and community involvement."
50,11/25/25 18:57:25,11/25/25 19:16:10,Weekly,"Small Groups: Equip Group, Oasis Group;Dwell, Gems, Cadets, or other youth programs;Community Nights;","I appreciate that our services are liturgical and that, increasingly, we have a wider variety of music and instrumentation. ","I think that we can continue to use liturgy, but we could benefit from a warmer or more approachable format. Sometimes it feels rigid or overly scripted in a way that is not approachable or relatable. I would also like to hear our singers more. Rather than just being on stage and singing, it would be helpful, especially for new songs, if they really lead the singing.","I think we can do a better job with this. It would be more blended if we had contemporary and traditional blended into each service rather than once service being mostly one or the other. Our family would also love to sing well known traditional hymns. We appreciate singing the contemporary, but would also love to sing the well known hymns in a more contemporary way. ",3,3,,Choristers;Dwell;Mobile Food Pantry;,I would like to see more engagement in adult bible study,I think our recent updated communication format is a great way to help people feel more included and connected. The pictures help show what is going on. ,"I think we do a good job showing our neighbors how much we care about them, but taking it the next level and doing discipleship in an area that we can grow. ",I think we do a good job serving our neighbors and letting them know we care,I am not sure,2,"I think we do a really good job at this in our food pantry, through the compassionate care that is shown at ministries like stings n things, and through our friendship ministry and food pantry. ","We've had a lot of neighbors visit our church, many of whom are looking for a church home. They will visit a couple of times and then not return. I think we need to know more about why they don't return to Plymouth. ",Value for diversity;Community presence;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;",Busy lives/competing priorities ;,I am not sure,It is complicated and there are mixed feelings,"I would like Plymouth embrace who it is and the many strengths that are here and move towards the future. So often it feels like we are stuck in the past, wishing for what was, rather than enjoying what is and what could, by God's grace, be in the years to come. ","Strong Visionary
Leadership strengths
Collaborative
Strengths in preaching and teaching
","Collaborative, but with clear leadership and support from pastoral staff",Strengthen the spirit of this congregation and foster a sense of hopefulness about the future
51,11/26/25 8:11:18,11/26/25 10:53:58,Weekly,"Small Groups: Equip Group, Oasis Group;Mobile Food Pantry;Community Nights;Sound & stream team;","Consistent liturgy, biblical preaching and good music ",None,Yes. ,3,3,,Mobile Food Pantry;Strings 'n Things;Small Groups;,,"Sharing meals at members homes, Game nights on weekdays. ",There are some opportunities through Food Pantry and Community nights. Could revive basketball nights or set up some pickleball courts in the parking lot. ,I miss the breakfast and the gathering in the community room for food Pantry. ,,4,Food Pantry and benevolence ,Stay engaged with our own neighbors. ,Leadership;Community presence;Worship services;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;We can always do better at introducing ourselves and inviting the visitors into our homes. ;,"Busy lives/competing priorities ;Nurturing young people to join, participate, and grow into lifelong, active church members ;",We hold true to the CRC doctrine and preach the Word and apply it to our lives. ,We tolerate the CRC and its newer policies. ,All of the above. ,A family person. Easily approachable. ,NA,Becoming engaged in the life of the church. 
52,11/26/25 14:09:53,11/26/25 14:36:47,Weekly,"Small Groups: Equip Group, Oasis Group;Adult Book Studies: Guys Group, Ladies' Bible Study;Mobile Food Pantry;",Music  and teaching sermons,None,Yes,2,3,"Find out what programs they are interested in, if none is available help them create one. ",Mobile Food Pantry;Dwell;Small Groups;,a real practicing discipleship group.,Just meeting others needs.,When this is done intentionally the church would be bursting at the seams. You need an intentional discipleship group meeting 2 time a month.,We do a very good job.,,2,Generally we do a good job.,"It's not a good work till God tells you to do it.   It's all about communication and knowing what's going on in the world around us.
Ask God for someone to help or mentor.",Value for diversity;Worship services;Community presence;Youth program ministries;Leadership;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;","Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;",Sound doctrine,Probably could be closer.,Active discipleship program and group.,Teaching sermons,bottom up,community engagement
53,11/26/25 21:03:19,11/26/25 21:12:53,Weekly,Community Nights;,"Traditional music, hymns and organ",More traditional music,We would prefer 100% traditional music,1,3,,Small Groups;Book Clubs;,,Continue to be there if someone needs help or wants additional interaction. Fellowship after church is great,"Community nights, mobile food pantry ",We really like them ,,5,,Continue to listen to the needs in our community. I think we are doing a good job,Worship services;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,Busy lives/competing priorities ;,That we focus on the Reformed theology. I think we do pretty well here ,"Some tension with certain members regarding sexuality, but I am glad we remain with the crc ","New pastor, more youth","A good preacher, a friend to the congregation",No complaints to the current share ,"Fostering belonging in our congregation, we need a leader to bring us together and keep us together "
54,11/26/25 21:01:03,11/26/25 21:23:57,Weekly,"Small Groups: Equip Group, Oasis Group;Dwell, Gems, Cadets, or other youth programs;",Bible based-entire service but especially message,None,Many of the songs are unknown to me even though I have attended church my whole life-would like some familiar Psalter Hymnal songs,2,3,,Dwell;Small Groups;,,Draw people into volunteering by connecting them with one person already involved in specific ministry they might be interested in,Good but always can improve ,"Wednesday evening kids programming appears to have record numbers of non-member/community kids attending, food pantry is awesome, have not heard about prayer walks and Family Promise is?",Drawing in families by providing activities for children,4,"Good at mercy-opportunities to show mercy and meet needs of members and community, do not know about compassion or justice",?,Value for diversity;Community presence;Youth program ministries;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;","Nurturing young people to join, participate, and grow into lifelong, active church members ;Bringing in, welcoming, and committing to the inclusion of community members into church life;",?,I do not know,1-Continue to expand programs for children/youth but need the families with the children so grow community outreach which would include expanding diversity.....all connected,"Teaching from the Bible-using the Bible to explain the Bible (not other sources/commentaries), personable, easy to connect with, heart for the children/youth",I do not know,Can't answer
55,11/26/25 21:12:37,11/26/25 21:49:36,Weekly,"Small Groups: Equip Group, Oasis Group;Community Nights;Dwell, Gems, Cadets, or other youth programs;",Seeing good friends and fellow Brothers and Sisters in Christ.  Hearing God's word.  The congregational prayer.  The Children's message.  The time to great one another.  ,"I would like to sing songs that I know and that are easy to sing along with.  I would like my kids to know the songs so they feel they can participate.  Every song that we sing does not have to be perfectly tied into the theme for the service.  Many times these songs are difficult to sing, nobody knows them, and you can't hear any singing over the instruments- even the singers up front are not heard.  I would like to sing some good Getty praise songs to start out or some solid traditional hymns that everyone knows - Holy, Holy, Holy, Amazing Grace, etc.  Not some obscure hymn or song that happens to have lyrics that match the scripture for that service.  Maybe have this song immediately following the sermon, but every song doesn't need to tie in.","Please see above.  Whether traditional or contemporary, we need a smaller repertoire of songs so people actually know them.  We can sing traditional songs in a contemporary manner.  ",4,3,"I would like to see announcements in the bulletin - ""are you interested in participating in the services?  Reading, singing, playing an instrument... we would love for you to get involved, please contact..."" While the quality of music is wonderful, it sometimes feels very formal and stilted.",Youth Groups;Cadets;GEMS;,Would like to see Oasis be more active,"Continuing to encourage a time of fellowship after the service.  Having small snacks/cheese and crackers and fruit on occasion would encourage people to stay longer.  I think we do a good job of welcoming on Sunday, it is inviting and continuing the relationships beyond Sunday that could use improvement.

I'm not sure where else to put this - I like the idea behind the picture of Jesus and the children being displayed during the Children's Message.  However, I would love to see an image that has a less stereotypical/more realistic Jesus.",N/A,"We offer many great opportunities to engage the community, but the number of volunteers and available hands to help is small.",None.  I think we need to focus on optimizing what we currently do.,3,"Benevolence fund, supporting missionaries",N/A,Youth program ministries;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;","Busy lives/competing priorities ;Nurturing young people to join, participate, and grow into lifelong, active church members ;","I don't know what this means.  I have never seen the phrase ""Christians of Reformed accent"" before.",Not great.  Poaching our pastor did not help.  I am not happy with recent Synod decisions.  ,"We have a declining membership that is senior-heavy.  In order to flourish as a church, we must do better at bringing in new members.  I would try to build up a relationship with Calvin University.  I have seen some Calvin students visit, but they never seem to come back.  Many of our current members started coming here in college.  There are very few ""young families"" and no college aged kids that regularly attend our church.  The same people are always volunteering and it is easy to get burned out.  If we can grow our church we will be able to do more community outreach ad talk about expanding programing.",Community builder.  Engaged in and with the congregation.  Someone who will help grow the church.,N/A,Fostering belonging and bringing in new and younger members.
56,11/27/25 19:37:05,11/27/25 20:15:17,Weekly,None of them. I only attend Sunday worship.;,"The sermon, music, and fellowship after church",Use the collection time to feature a short video of an event that the church members participate in.  Someone can be trained to take a short video and put together a 2-minute video presentation during collection time.,Prefer an equal balance between traditional and contemporary music. ,3,3,Glad to see many in the congregation involved already. ,Not participated in any of the above;,Being a place that is more attractive to college age students,It is hard to say as I am overworked at my workplace. ,"With the CRC becoming even smaller as churches leave, and being a less inviting place for those who do not have settled views on human sexuality, it is a hard place to be.  Many members of our church have left PHCRC.  If we cannot keep the members we have now, how can we imagine we can equip disciples to become neighbors?",I believe the church does remarkably well in these areas.,I think reaching out to college communities and bringing college-age students to PHCRC will make a change.  Best to ask those students who come to PHCRC what keeps them coming regularly to PHCRC. ,3,"The food pantry at PHCRC is a place to show compassion, mercy, and justice. ",I think we need to address why so many in our community who have been part of PHCRC have been leaving. We have lost a large number of our membership.  We need to reach out to them to find out how we have failed them or why they decided to move elsewhere.  ,Value for diversity;Worship services;Youth program ministries;Leadership;,"We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;We are seeing the younger generation slowly moving away from PHCRC;","Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;","That we are always reforming as Christians, and are not led by fear. We hold scripture in high regard, which is demonstrated by the pastors. As Nick Wolterstorff has stated recently, the CRC is moving away from reformed positions and embracing fundamentalist Christian positions (see https://calvinchimes.org/2025/11/10/calvins-legacy-under-threat-a-conversation-with-nicholas-wolterstorff/)","I am glad that the church still has members with diverse opinions in the church - that is reformed! I believe PHCRC's relationship to the Christian Reformed denomination has changed, as it now has to enforce strict adherence to the confessions as stated by the synod, which spills into who can be a deacon/elder, and so on. ","Firstly, I believe that our church needs to take stock of what has occurred in our church.  Why have we lost a large number of younger families from our church? ","Given that we have diverse opinions on various matters, a pastor who can meet with members of our congregation informally and get to know us better as individuals. Maybe it could be a pizza lunch after service in the library with a few families each Sunday.  A list could be drawn, and people could sign up to meet with the new pastor over lunch.  ",I don't have an opinion on this question. ,1) Fostering belonging (see my response to Q24). 
